Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.079999924,,,6.449999809,,,7.449999809,,,6.920000076,6.900000095,,,,,,5.710000038,,,10.60000038,8.899999619,,,,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.494499922,,,,1.691900015,,,,,11.18360043,
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,14.19999981,14.89999962,18.89999962,,,,,,,,,,,,,,,,,,23.6427002,,,,,,9.430000305,,,,24.21999931,,,,
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,5.599999905,5.099999905,3.599999905,4.400000095,5.699999809,6.699999809,6.400000095,6.099999905,7,7.300000191,9.5,9.100000381,26.5,22.29999924,18.39999962,12.89999962,12.30000019,14.89999962,17.70000076,18.39999962,16.79999924,16.39999962,15.80000019,15,14.39999962,14.10000038,13.80000019,15.96630001,13.05990028,13.67389965,14.08600044,13.48089981,13.37590027,15.86590004,17.48999977,17.07999992,,13.75,
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52646684,9.699939627,9.947311607,9.539942172,9.328540857,11.18903259,10.72829511,,10.61859922,,9.594280274,,
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,1.960000038,,,,,,,,,,1.149999976,,,,,,,,,,1.799999952,,,,,2.25,,,,,3.119999886,,,,,,,,,,,1.635501981,2.463000059,
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,4.800000191,6,6.599999905,5.599999905,3.400000095,2.299999952,4.5,2.799999952,2.799999952,2,2.299999952,4.5,4.730000019,4.170000076,3.539999962,5.300000191,4.400000095,5.300000191,6,7.300000191,7.059999943,,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52210045,11.50590038,10.07750034,8.470000267,7.83739996,8.645299911,,,,,,,,8.347399712,
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,,,,,,,,9.812299728,,18.43630028,19.00799942,,17.30130005,16.17889977,,,,,
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,12.98999977,17.23999977,19.07999992,14.86999989,13.78999996,14.35000038,12.40999985,12.60999966,12.77999973,12.96000004,13.10999966,13.28999996,13.38000011,,,,5.110000134,,,,,,,,,,5.050000191,,,,,9.979999542,,,,,9.199999809,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,20.45999908,19.45999908,19.45000076,20.69000053,,,,,,,,,,,,,,,6,,,,,,,,,,8.420000076,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,6.264900208,6.105199814,5.783599854,7.16260004,9.961400032,8.986800194,8.258099556,8.080599785,8.106399536,7.225800037,6.175000191,6.926000118,9.579199791,10.72879982,10.87380028,9.718700409,8.46930027,8.506199837,8.362199783,7.675600052,6.872300148,6.282599926,6.742300034,6.367599964,5.92869997,5.39470005,5.03249979,4.782299995,4.376999855,4.234200001,5.56069994,5.211299896,5.081099987,5.223599911,5.662000179,6.07679987,6.054200172,5.709899902,5.591199875,
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,2.799999952,2.400000095,1.5,1.299999952,1.200000048,1.299999952,2,2,1.799999952,2.099999905,2,1.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.301400185,4.820000172,4.563799858,4.864999771,5.334799767,5.619699955,5.722700119,6.013800144,5.499000072,
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109999999,0.170000002,0.519999981,0.649999976,0.800000012,0.899999976,1.029999971,1.129999995,,,,,,,,,,,5.75,5.670000076,5.519999981,5.269999981,5.059999943,4.940000057,4.880000114,4.980000019,5,
Burundi,BDI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479999989,,,,,,,,,14,,,,,,,,,1.633574486,,,,,,1.571699977,,,,
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,2.099999905,2.700000048,2.799999952,3,5.099999905,6.5,,7.900000095,,9.100000381,,13,,,,,,,,,,,,,,,,,,,,,,7.363399982,8.440199852,8.245900154,7.457900047,6.975599766,7.907599926,8.292499542,7.1395998,7.541699886,8.425299644,8.52270031,8.482000351,7.829699993,7.086200237,
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.180000007,,,,,,1.50999999,,,,,,,,,,0.689999998,,,,,,,,1.039999962,2.646500111,,,,,,,
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.299999952,,,,,,,,,2.579999924,,,,2.440000057,,,,,2.779999971,,4,,3.299999952,,,,,,,6.479499817,,,,
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.039999962,2.019999981,0.959999979,,,0.920000017,,2.200000048,,,,,2.50999999,,,,3.269999981,,,4.320000172,,4.25,3.590600014,,,5,3.378900051,,,4.426199913,,,4.349999905,4.372300148,
Bulgaria,BGR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.700000048,11.10000038,15.30000019,16.39999962,12.80000019,11.10000038,12.5,,,,,,,,,,,,,6.816599846,10.27939987,11.25959969,12.26990032,12.94079971,11.42380047,9.143300056,7.57460022,6.164400101,
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,3.099999905,,,,,,,,,,,,,,,,,,,,,,,,,,5.599999905,3.700000048,4,,4,,,,,,,
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,8.600000381,,21.20000076,,20.86000061,,14.69999981,,,,,,,12.09000015,,11.02000046,11.59000015,7.769999981,12.17000008,14.81000042,12.72000027,13.82999992,10.82999992,11.46000004,9.760000229,7.650000095,7.449999809,,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,,
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.10989952,28.9843998,23.40530014,24.06769943,27.3118,27.58189964,28.01029968,27.45000076,27.51720047,27.64999962,25.40999985,20.46999931,
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050000001,0.5,1.399999976,2.099999905,2.900000095,4,2.799999952,2.299999952,2.099999905,2.099999905,2.299999952,3,3.099999905,1.899999976,1.5,1.200000048,1,0.800000012,6.099999905,,0.600000024,0.5,0.5,0.5,1,5.840000153,5.650000095,
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.779999733,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,,9.069999695,10.03999996,,,10.90999985,9.390000343,8.510000229,8.180000305,,,,14.27000046,8.349100113,8.243900299,7.578199863,7.000400066,6.595499992,
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.710000038,,,,,,,,,4.480000019,6.489999771,,8.43999958,6.659999847,8.93999958,,,,
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,9,8.100000381,7.099999905,6.099999905,5.199999809,5.300000191,5.300000191,5.5,5.599999905,6.099999905,10.15999985,11.60000038,14.18999958,14.65999985,19.28000069,19.76000023,20.31999969,18,,,6.590000153,,5.989999771,3.079999924,3.690000057,5.230000019,2.079999924,,3.930000067,4.46999979,,,,,,,,2.603399992,2.863399982,,2.218600035,2.047899961,2.393899918,2.006500006,3.065999985,,,
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,3.059999943,2.779999971,,,1.919999957,2.319999933,2.359999895,2.75999999,,3.99000001,4.829999924,4.619999886,4.039999962,3.380000114,2.369999886,3.559999943,3.789999962,2.970000029,,,6.420000076,6.03000021,,6.420499802,7.253399849,8.158399582,9.422800064,10.20829964,,9.6104002,9.370900154,9.991000175,9.105199814,9.567700386,8.639499664,8.327300072,7.342599869,8.522100449,,6.916999817,,,,,11.60949993,12.82730007,12.33819962
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,9.859999657,12.44999981,13.28999996,9.449999809,8.979999542,7.230000019,8.390000343,9.06000042,17.02000046,18.85000038,17.87999916,17.94000053,17.56999969,14.06000042,8.159999847,7.519999981,22.94000053,24.54000092,22.97999954,19.65999985,14.71000004,14.60999966,12.39999962,10.60999966,9.350000381,9.850000381,10.31999969,11,9.569999695,9.079999924,8.729999542,7.409999847,8.119999886,10.02000046,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,11.35000038,9.720000267,,
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,8.251999855,7.849999905,8.062999725,8.696000099,10.04100037,7.668000221,7.842000008,6.547999859,6.037000179,,,,,,,,4.699999809,,,,,,,,,,,,,,,,,,,,,,,6.965099812,,,9.315999985,
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.399999976,1.399999976,,1.899999976,,1.799999952,2.49000001,,3.130000114,3.700000048,,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,,,
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,25.67000008,,,,,,13.81999969,,,,,21.57999992,,20.86000061,,15.88000011,18.54000092,,23.79999924,,,17.79999924,,,16.1692009,17.86000061,,,,,,,,
Central African Republic,CAF,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,4.699999809,5.900000095,6.400000095,6.300000191,5.599999905,5.400000095,,7.089600086,8.048700333,8.375800133,7.525300026,7.536799908,7.60710001,11.04030037,12.01840019,11.34440041,10.50249958,9.593000412,8.819999695,7.761899948,7.546500206,8.131099701,10.31610012,11.19699955,11.37689972,10.39519978,9.488900185,9.619700432,9.100500107,8.278499603,7.583099842,6.828700066,7.218599796,7.664800167,7.573800087,7.185299873,6.758100033,6.320300102,6.036099911,6.13710022,8.343999863,8.055500031,7.511099815,7.291800022,7.073599815,6.91410017,6.906499863,6.998899937,6.339700222,5.830800056
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.56282828,,12.23313015,11.41836482,10.83117569,9.39845604,9.05252399,10.65988209,12.56323923,12.74974165,,14.55219776,13.67039394,12.83036261,10.66747531,8.212218691,6.979752881,8.488017867,9.90007032,9.78945213,9.978203321,10.04607408,8.951624512,7.816345497,6.488559827,5.293803831,
Switzerland,CHE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,0.300000012,0.699999988,0.400000006,0.400000006,0.400000006,0.200000003,0.200000003,0.400000006,0.899999976,1.100000024,1,0.800000012,0.800000012,0.699999988,0.600000024,,,,,,,,,,,,,,,,,,,,4.116099834,4.80670023,4.407599926,4.484600067,4.74669981,4.825900078,4.800700188,4.917900085,4.796700001,
Channel Islands,CHI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,14.68999958,12.75,11.82999992,14.26000023,13.63000011,10.46000004,11.35000038,19.60000038,14.64999962,13.90999985,,8.710000038,,6.230000019,5.289999962,,5.230000019,,4.489999771,,4.699999809,,7.136000156,,11.15799999,,10.39000034,10.16800022,,10.1619997,9.340000153,,8.427000046,9.284999847,,8.424300194,,6.659399986,,6.664899826,,6.738200188,6.958099842,7.233099937
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,5.300000191,5.400000095,4.900000095,3.799999952,3.200000048,2.299999952,1.899999976,1.799999952,2,2,2,2.599999905,2.5,2.299999952,2.299999952,2.599999905,2.799999952,2.900000095,3,3.099999905,3.099999905,3.099999905,3.099999905,3.599999905,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.199999809,4.300000191,4.099999905,4.099999905,4.099999905,4.050000191,4.099999905,,,3.900000095,
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.699999809,,,4.099999905,,,4.099999905,,,,,,,,,,,,,,7.222899914,4.254499912,,,2.59920001,,
Cameroon,CMR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06000042,,,,,7.460000038,,,,4.400000095,,,,,4.110000134,,,,3.533799887,,,,
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.849100113,,,,,,,4.485199928,,,,,,
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79560089,,,,16.10000038,,,10,,,,,,
Colombia,COL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,10.55000019,,9.399999619,,,9.100000381,8.130000114,11.46000004,11.13000011,13,13.89000034,12.93999958,10.82999992,,,,10.11999989,9.43999958,,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,15.63300037,14.18900013,13.71700001,11.86999989,,11.20400047,11.27299976,12.06599998,10.98400021,10.11089993,9.74050045,9.051699638,8.572199821,8.298999786,8.691800117,8.87250042,9.124099731
Comoros,COM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.571400166,,,,,,,,,,,,,,
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,10.67000008,,,,,31.31270027,,12.23999977,
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.511000156,5.373000145,3.927000046,3.953999996,4.045000076,5.176000118,6.162000179,5.681000233,5.327000141,5.894999981,5.081999779,5.914999962,6.334000111,6.558000088,6.390999794,6.571000099,5.739999771,4.489999771,4.781000137,7.712999821,7.170800209,10.13939953,,,,,,,
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.69518306,16.55770136,17.18047672,16.1627629,15.69639375,15.27011516,14.95880344,14.085098,13.9571944,,12.85066489,12.29185824,11.616194,10.58522338,10.37696618,9.230787206,8.421309379,8.708164872,9.896572958,9.403163681,10.25334744,11.13049682,11.40547767,10.1112897,10.2936153,10.42824735,,
Cuba,CUB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.270000458,7.610000134,7.099999905,6.230000019,6.260000229,5.449999809,4.079999924,3.309999943,2.329999924,1.853999972,1.950000048,1.912999988,1.787999988,1.582999945,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,,,
Curacao,CUW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.779999733,,13.02999973,12.60999966,11.71000004,,,
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.909999847,,7.21999979,5.739999771,4.940000057,5.099999905,4.139999866,4.170000076,,,7.539999962,5.369999886,3.609999895,3.450000048,3.539999962,2.619999886,3.829999924,3.970000029,6.039999962,,6.78000021,6.210000038,6.269999981,4.699999809,4.239999771,,,
Cyprus,CYP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,10.89999962,7.400000095,3.099999905,2,1.700000048,2,2.599999905,2.799999952,3.299999952,3.299999952,3.299999952,3.700000048,3.400000095,2.799999952,2.299999952,1.799999952,3,,2.700000048,2.700000048,2.599999905,3.099999905,3.400000095,3.299999952,,,,,,,,4.542900085,3.921999931,3.654700041,5.363900185,6.262800217,,11.79520035,15.87069988,16.08799934,14.90839958,12.94979954,11.05150032,
Czech Republic,CZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699999988,,2.599999905,,,,,,,,,,,,,,,,,6.662099838,7.279099941,6.711100101,6.978199959,6.952700138,6.107900143,5.04640007,3.951400042,2.889800072,
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,6.449399948,6.674699783,6.874899864,6.610000134,6.816400051,6.318600178,5.705699921,4.890299797,,,,,,,,,,,,,,,,,,,7.741600037,6.966400146,5.824399948,5.379399776,5.23059988,4.98059988,4.624199867,4.121799946,3.745500088,
Djibouti,DJI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32999992,,9.529999733,,,,,,23.18000031,,15.67000008,,10.96000004,,,,,,,,,,,,,,,,,
Denmark,DNK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,0.899999976,2.099999905,5.099999905,5.300000191,6.400000095,7.300000191,6.099999905,7,9.199999809,10,,,,,,,,,,,,,,,,,5.141499996,4.475999832,,,,,,,,,6.0072999,7.463600159,7.572700024,7.525800228,6.99669981,6.58920002,6.168300152,6.180699825,5.7427001,
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.432400227,7.261799812,,6.937699795,6.302899837,6.586599827,5.654500008,5.157700062,4.76429987,5.466599941,5.211999893,6.086900234,6.722000122,7.351500034,6.718900204,,,5.831699848,
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.63999939,21.26000023,20.60000038,24.37999916,26.22999954,27.73999977,31.84000015,,25.43000031,,,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.20720005,11.20610046,10.20240021,,
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.607934333,2.587953528,2.543416281,2.797388314,2.970958949,3.059002886,3.169986643,3.331335582,3.538735315,3.606812436,3.593463158,3.77267875,4.336990574,4.311526187,4.293776614,4.454373183,4.346343783,4.292965514,4.395976047,4.217521397,3.92751339,3.872403021,3.819413452,3.748451305,3.758777043,,,3.734861502,
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43030774,,,,,,5.350143356,,,,,5.563620737,,,,,4.513827825,,4.826282105,,,,,,
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.615002857,2.628406657,2.608876417,2.869723404,3.030110684,3.110580211,3.214641766,3.366597041,3.698137589,3.782504814,3.714910315,3.888468385,4.411004579,4.384482936,4.323114938,4.441974025,4.313017429,4.238403791,4.333625197,4.273833444,4.004563984,3.910021975,3.846440122,3.766388101,3.766612428,,,3.701617854,
Europe & Central Asia (excluding high income),ECA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.652940664,6.32304631,7.610505169,7.840795519,8.464808441,9.414701812,10.58306909,11.03018606,8.96082171,8.420561592,8.265048155,8.250665733,8.073353345,7.565538002,7.367445385,7.226790991,7.326714621,8.987945072,8.467623134,7.596739558,6.946079909,7.083245808,7.106535585,7.344228318,7.402090086,7.214254501,
